ID;Average User Rating;User Rating Count;Price;In-app Purchases;Developer;Age Rating;Languages;Size;Genero_1;Genero_2;Genero_3;Original Release Date;Current Version Release Date
1228023832;;;0.99;;Bitway International USA;4+;EN;201023488; Education; Strategy; Puzzle;14/03/2018;10/06/2018
1228050946;4;676;0;1.99, 5.99, 3.99, 8.99, 2.99, 5.99, 1.99, 3.99, 0.99, 1.99;Nitro Games Oyj;12+;AR, ZH, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ES, TR;225798144; Strategy; Action;;19/09/2017;02/05/2019
1228053463;;;0;;zhiguo lin;4+;EN, ZH, ZH;78113792; Entertainment; Trivia; Strategy;04/05/2017;04/05/2017
1228076893;4.5;22;0;;Ali Azhar;4+;EN;124765184; Puzzle; Strategy; Entertainment;20/04/2017;20/04/2017
1228095197;4.5;3554;0;;yu liu;4+;EN;70249472; Puzzle; Strategy; Entertainment;15/05/2017;20/07/2018
1228142044;;;0;1.99, 1.99;Zaheer udeen Babar;4+;EN;16644096; Strategy; Puzzle; Sports;21/04/2017;04/07/2017
1228239355;;;0;;Zaheer udeen Babar;4+;EN;24080384; Strategy; Sports; Sports;23/04/2017;01/05/2017
1228259820;4.5;447;0;1.99, 9.99, 4.99, 24.99, 99.99, 49.99;Corey Smith;12+;EN;105192448; Strategy; Simulation;;01/05/2017;03/05/2019
1228504100;;;0;;Fuya Tong;4+;CS, NL, EN, FR, DE, IT, JA, KO, PL, PT, RU, ZH, ES, SV, ZH, TR;30126080; Strategy; Puzzle;;05/05/2017;05/05/2017
1228546948;;;0;0.99;Eureka Games Studio Ltd;17+;EN;327751680; Entertainment; Puzzle; Strategy;03/06/2017;03/06/2017
1228702816;;;0;0.99, 1.99, 2.99, 27.99, 0.99, 1.99, 2.99, 27.99;Killer01;9+;EN;2092283904; Strategy; Adventure;;26/04/2017;26/04/2017
1228727869;4.5;126;2.99;4.99, 0.99, 1.99, 4.99, 1.99, 0.99;Flipline Studios;4+;EN;66907136; Simulation; Strategy;;18/05/2017;02/02/2019
1228727873;;;0;;Khoa Ho;4+;EN;25128960; Strategy; Action;;21/04/2017;08/05/2017
1228743726;5;12;0;1.99;Chen Yong Min;4+;EN;81792000; Strategy;;;26/04/2017;26/04/2017
1228842423;4.5;6;0;1.99, 1.99, 2.99, 2.99, 5.99, 19.99, 5.99, 4.99, 9.99, 9.99;Tapps Tecnologia da Informa\xe7\xe3o Ltda.;4+;EN, PT;63917056; Entertainment; Simulation; Strategy;25/05/2017;25/05/2017
1228934794;;;0;;Thang Nguyen;4+;EN;193971200; Entertainment; Strategy; Casual;21/04/2017;21/04/2017
1228963471;4;19;0;2.99, 0.99, 4.99, 4.99, 2.99, 0.99, 1.99, 1.99, 0.99;Truong Le Xuan;12+;EN;108085248; Sports; Strategy; Adventure;23/04/2017;17/11/2017
1229009282;4.5;369;0;9.99, 0.99, 4.99, 0.99, 9.99, 4.99, 4.99, 4.99, 4.99, 9.99;Ratatat Studio;9+;ZH, EN, JA, KO, ZH, ZH;238532608; Action; Strategy;;30/10/2018;25/07/2019
1229034181;;;0;;Swaminathan L;4+;EN;32852992; Casual; Entertainment; Strategy;21/04/2017;22/05/2017
1229059952;;;0;0.99, 4.99, 9.99, 19.99, 29.99, 49.99, 99.99, 1.99, 3.99, 5.99;Cosen;12+;EN;529083392; Strategy; Role Playing;;02/10/2017;02/10/2017
1229060152;;;0;0.99;FREESTYLE GAMES S.L.;4+;EN;128145408; Strategy; Racing; Entertainment;18/05/2017;18/05/2017
1229074000;;;0;0.0, 0.99, 3.99, 9.99, 19.99, 39.99, 4.99;Evolution Games GmbH;4+;EN;167881728; Entertainment; Strategy; Family;26/04/2017;01/05/2017
1229341465;;;0;;Doan Van Thanh;4+;EN;80846848; Strategy; Adventure;;26/04/2017;26/04/2017
1229363248;;;0;0.99, 4.99;Tongo Games;17+;EN;166243328; Entertainment; Simulation; Strategy;30/04/2017;30/04/2017
1229409816;;;0;1.99;Jason Cowles;4+;EN;113858560; Entertainment; Casual; Strategy;07/05/2017;07/05/2017
1229425846;;;1.99;1.99, 1.99;Zaheer udeen Babar;4+;EN;24677376; Strategy; Photo & Video; Puzzle;28/04/2017;28/04/2017
1229445213;;;0;;Lisa Burns;4+;EN;133201920; Action; Strategy;;26/04/2017;29/11/2017
1229445376;3.5;46;0;;Filip Rudzinski;12+;EN;251660288; Action; Strategy;;24/04/2017;30/05/2017
1229475662;;;0.99;;DARVE LIMITED;4+;EN;29438976; Entertainment; Casual; Strategy;28/07/2017;29/06/2019
1229489918;4.5;11;0.99;;Michal Pawlowski;4+;EN;192329728; Puzzle; Strategy;;13/06/2017;15/06/2017
1229495482;;;0;;Santiago Sosa;9+;EN;24704000; Puzzle; Strategy; Lifestyle;26/04/2017;26/04/2017
1229499355;;;2.99;0.99, 1.99, 2.99, 4.99;Rishav Singla;9+;EN;101256192; Puzzle; Strategy;;24/04/2017;24/04/2017
1229500553;;;0;;Martian Technology;4+;EN;82485248; Puzzle; Strategy; Entertainment;06/05/2017;06/05/2017
1229502537;;;2.99;;Rishav Singla;4+;EN;51469312; Puzzle; Strategy;;24/04/2017;24/04/2017
1229503446;;;2.99;;Rishav Singla;4+;EN;44897280; Strategy; Puzzle;;24/04/2017;24/04/2017
1229515923;;;0;2.99, 3.99, 7.99;Kosuke Oki;12+;EN;216164352; Strategy; Role Playing;;09/05/2017;01/12/2017
1229523578;4.5;91;0;2.99;111%;4+;EN;30650368; Strategy; Entertainment; Casual;03/05/2017;25/05/2018
1229559874;;;0;;Vikash Patel;4+;EN;5521408; Entertainment; Strategy; Adventure;02/05/2017;02/05/2017
1229670720;4;1580;0;7.49, 4.99, 9.99, 2.99, 19.99, 3.99, 3.99, 49.99, 7.99, 11.99;Everywear Games Inc.;4+;EN, FR, DE, IT, PT, RU, ES, TR;107077632; Simulation; Entertainment; Strategy;19/09/2017;17/08/2018
1229686104;;;0;;famobi;4+;EN;13975552; Board; Strategy;;14/05/2017;14/05/2017
1229707128;;;0;;xiaojun ying;4+;EN, ZH;22541312; Strategy; Trivia;;29/04/2017;29/04/2017
1229715675;4;14;0;1.99, 4.99, 8.99, 14.99, 17.99, 44.99;Tapps Tecnologia da Informa\xe7\xe3o Ltda.;4+;EN;71404544; Entertainment; Strategy; Simulation;03/06/2017;16/03/2018
1229936971;4.5;1356;0;0.99, 1.99, 0.99, 0.99, 0.99, 3.99, 4.99, 2.99, 4.99, 9.99;Rogue Games, Incorporated;12+;EN;243960832; Action; Strategy; Entertainment;16/08/2017;01/07/2019
1229960773;4.5;2062;0;0.99, 4.99, 7.99, 14.99, 29.99, 49.99, 99.99, 2.99, 2.99, 7.99;Moga Studios;17+;EN, FR, DE, JA, KO, PT, ZH, ES, ZH;505971712; Strategy; Role Playing;;05/02/2018;25/07/2019
1229965158;;;0;4.99, 0.99;Tongo Games;12+;EN;127021056; Entertainment; Strategy; Simulation;10/05/2017;10/05/2017
1230004229;;;0;;Joseph Tsui;4+;EN;30119936; Strategy; Entertainment;;18/05/2017;19/05/2017
1230017902;;;0;;InThere B.V.;4+;EN;167133184; Education; Strategy; Simulation;25/01/2018;29/05/2018
1230036350;5;7;0;1.99, 1.99, 2.99, 4.99, 0.99, 0.99, 1.99, 0.99, 1.99, 0.99;AppSwarm, Inc.;12+;EN;107980800; Strategy; Adventure;;04/05/2017;04/06/2018
1230057640;;;2.99;1.99;Matthew Olsen;9+;EN;93338624; Action; Strategy;;31/05/2017;15/06/2017
1230307001;4;337;0;0.99, 0.99, 2.99, 4.99, 1.99, 0.99, 1.99, 2.99, 3.99;Nguyen Cong Huy;4+;EN, FR, DE, JA, ZH, VI;78410752; Adventure; Strategy;;12/05/2017;21/12/2018
1230318955;;;0;;Vikash Patel;4+;EN;6283264; Family; Entertainment; Strategy;11/05/2017;11/05/2017
1230330462;;;0;1.99, 6.99, 4.99, 4.99;Girish Kumar;4+;EN;68407296; Casual; Entertainment; Strategy;01/05/2017;01/05/2017
1230344867;4.5;24;0;2.99, 4.99, 0.99, 19.99;Vadym Sakhno;4+;EN;173745152; Strategy;;;07/05/2017;04/08/2017
1230397632;;;0;;Shotrun AS;17+;EN, NB;56086528; Strategy; Shopping; Adventure;11/04/2018;18/09/2018
1230423239;;;0;;Sunny Dasari;4+;EN;88927232; Strategy; Entertainment; Casual;06/05/2017;29/06/2017
1230425721;;;0;;Ayesha Yasser;4+;EN;54032384; Entertainment; Simulation; Strategy;29/04/2017;29/04/2017
1230737058;;;0;;Efexx App;4+;EN;16216064; Entertainment; Strategy; Casual;28/04/2017;28/04/2017
1230806864;;;0;12.99, 12.99, 19.99;Maple Lowell;4+;EN;19132416; Sports; Strategy; Simulation;04/09/2017;04/09/2017
1230810704;2;67;0;0.99;Dakshesh vyas;9+;AR, CA, CS, DA, NL, EN, FI, FR, DE, EL, HE, HU, ID, IT, JA, KO, MS, NB, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, UK, VI;19590144; Strategy; Action; Entertainment;28/04/2017;28/04/2017
1230853601;;;0;0.99, 1.99, 3.99, 4.99;jianping lv;9+;EN;191912960; Action; Sports; Strategy;29/04/2017;29/04/2017
1230863103;;;0;;Asim Pereira;4+;EN, HI, KN, MR, RU, TA;47396864; Board; Strategy;;22/05/2017;02/05/2019
1230892664;4.5;6239;0;4.99, 9.99, 4.99, 0.99, 1.99, 1.99, 9.99, 4.99, 4.99, 19.99;Geewa;9+;ZH, CS, EN, FR, DE, IT, JA, KO, PT, RU, ES, TR;280869888; Strategy;;;29/01/2018;30/07/2019
1230918083;;;0;;Ali Azhar;4+;EN;164895744; Puzzle; Strategy; Entertainment;28/04/2017;28/04/2017
1231003149;;;0;;Lei Cao;4+;EN;9116672; Entertainment; Card; Strategy;03/05/2017;02/04/2018
1231271974;;;0.99;0.99, 8.99;YuYun Jiang;4+;EN;627919872; Education; Strategy; Simulation;05/05/2017;05/05/2017
1231291405;5;17;0;;Chen Yong Min;4+;EN;81865728; Strategy;;;14/05/2017;14/05/2017
1231343524;3;128;0;0.99, 4.99, 9.99, 4.99, 9.99, 29.99, 19.99, 99.99, 99.99;Animoca Brands;12+;EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES, ZH, VI;108628992; Entertainment; Strategy; Simulation;11/10/2017;04/04/2018
1231396289;;;0;;Jimmie Magnusson;9+;EN;21033984; Entertainment; Strategy;;07/07/2017;21/03/2018
1231442686;;;0;5.99, 0.99;marty schultz;4+;EN;28560384; Sports; Strategy; Sports;03/06/2017;31/03/2019
1231454157;;;0;;"""Jordan Development's \u2122""";4+;EN;6323200; Entertainment; Strategy;;04/05/2017;04/05/2017
1231463098;;;0;14.99;MrGames Ltd;12+;EN, FR, DE, KO, RU, ZH, ES, ZH;83719168; Strategy; Role Playing; Entertainment;13/05/2017;13/05/2017
1231464240;4.5;1110;0;9.99, 19.99, 9.99, 4.99, 49.99, 99.99, 4.99, 19.99, 19.99, 0.99;seal Media GmbH;17+;NL, EN, FR, DE, IT, PL, PT, RU, ES, TR;226691072; Strategy;;;21/06/2017;30/04/2019
1231472720;;;0;0.99, 0.99, 4.99, 9.99, 19.99, 39.99, 4.99;Evolution Games GmbH;4+;EN;167910400; Strategy; Entertainment; Family;03/05/2017;03/05/2017
1231490701;;;0.99;;Seligman Ventures Global Limited;4+;EN;22590464; Strategy; Puzzle;;09/05/2017;19/06/2017
1231491435;2;342;0;99.99, 19.99, 4.99, 9.99, 49.99, 29.99;Gaea Mobile Ltd;12+;CA, ZH, HR, CS, DA, NL, EN, FI, FR, DE, EL, HU, ID, IT, JA, KO, MS, NB, PL, PT, RO, RU, ZH, SK, ES, SV, TH, ZH, TR, UK, VI;555947008; Strategy; Simulation;;09/05/2017;24/07/2019
1231531255;;;0.99;;Karaokulta Sapi de CV;4+;EN;5062656; Puzzle; Strategy;;04/05/2017;04/05/2017
1231712057;;;0;;Quantum Design Group;4+;EN;50860032; Casual; Entertainment; Strategy;16/05/2017;16/05/2017
1231722629;;;0;0.99;Swapnil Rane;4+;EN;60164096; Strategy; Entertainment; Casual;06/05/2017;06/05/2017
1231733504;;;1.99;;Genius Technology Co., Ltd.;4+;EN, ZH, ZH;44871680; Strategy; Puzzle; Entertainment;01/06/2017;04/09/2017
1231776448;5;6;0;6.99, 2.99, 39.99, 19.99;Lorenzo Nuvoletta;4+;EN;73216000; Strategy; Board;;06/05/2017;19/04/2019
1231814761;2;5;0;0.99, 0.99, 0.99, 0.99;6S MOBILE;4+;EN;46417920; Strategy; Entertainment; Word;13/05/2017;13/05/2017
1231869213;;;0.99;;Rishav Singla;4+;EN;41960448; Puzzle; Strategy;;03/05/2017;03/05/2017
1231869283;;;0;;Bahadir Yilmaz;4+;EN;30146560; Puzzle; Strategy;;04/05/2017;04/05/2017
1231870586;;;11.99;3.99;Domyung Kim;4+;EN;82725888; Education; Board; Strategy;03/05/2017;03/05/2017
1231870781;;;2.99;;Rishav Singla;4+;EN;60707840; Puzzle; Strategy;;03/05/2017;03/05/2017
1231910496;;;0;0.99;sejong kim;4+;EN;83320832; Strategy; Simulation;;06/05/2017;19/05/2017
1231927233;;;0;;Muhammad Azam;4+;EN;99106816; Entertainment; Puzzle; Strategy;11/05/2017;29/05/2017
1232061909;;;0;;Phenomenal Enterprises Limited;4+;EN;54104064; Casual; Strategy; Entertainment;04/05/2017;04/05/2017
1232076299;5;12;0;;MClass Games LLC;4+;EN;162418688; Board; Education; Strategy;06/12/2017;27/03/2018
1232080718;;;0;;Daniel Hutchinson;4+;EN;24654848; Entertainment; Strategy; Adventure;04/05/2017;04/05/2017
1232149400;;;0;1.99, 1.99;Ajaysinh Jadeja;4+;EN;20477952; Entertainment; Strategy; Puzzle;06/05/2017;06/05/2017
1232153983;;;0;0.99;WIDStudio;9+;EN, JA, KO;48771072; Casual; Strategy;;08/06/2017;05/06/2018
1232160506;;;0;;Billy Taylor;4+;EN;35393536; Trivia; Entertainment; Strategy;05/05/2017;24/05/2017
1232246284;;;0.99;;JOhn Lyons;4+;EN;4982784; Strategy; Simulation; Entertainment;15/05/2017;09/06/2017
1232320041;;;11.99;3.99;Domyung Kim;4+;EN;68541440; Board; Strategy; Education;05/05/2017;05/05/2017
1232355066;;;0;;Shawal Tarik;4+;EN;77429760; Entertainment; Strategy; Sports;05/05/2017;05/05/2017
1232375138;4.5;169;0;;WINR Games Inc.;17+;EN;213073920; Strategy; Card; Entertainment;11/05/2017;21/08/2018
1232440829;;;0;;Weerakiat Sripunyadech;9+;EN;10534912; Entertainment; Family; Strategy;24/05/2017;24/05/2017
1232534985;;;0;2.99, 5.99;Lab Cave Apps S.L;4+;EN;121645056; Strategy; Entertainment; Action;24/05/2017;24/05/2017
1232541754;;;0;0.99;KidDotCo;4+;EN;33297408; Casual; Entertainment; Strategy;15/06/2017;15/06/2017
1232577839;;;0;;MUHAMMAD PARWANA;9+;EN;63987712; Racing; Strategy;;06/05/2017;06/05/2017
1232584650;;;0;;Archana Madhak;4+;EN;6348800; Strategy; Adventure; Entertainment;06/05/2017;06/05/2017
1232586514;;;0;;Archana Madhak;4+;EN;6406144; Strategy; Action; Entertainment;08/05/2017;08/05/2017
1232587950;;;0;;Archana Madhak;4+;EN;6389760; Adventure; Entertainment; Strategy;08/05/2017;08/05/2017
1232588540;;;0;0.99, 3.99, 8.99;Vyde;9+;HR, DA, NL, EN, FI, FR, DE, IT, NO, PL, PT, SR, ES;306109440; Strategy; Card;;17/07/2017;26/07/2018
1232719919;5;5;0;;JunHak Kim;12+;EN;109340672; Role Playing; Strategy;;11/05/2017;30/05/2018
1232746375;;;0;;Julian Cearley;4+;EN;19584000; Strategy; Entertainment; Casual;05/07/2017;01/09/2017
1232791258;4;687;3.99;;Mika Mobile, Inc.;12+;EN;459435008; Entertainment; Strategy; Role Playing;12/07/2018;26/07/2018
1233004509;3.5;6;0;4.99, 1.99;Rogue Sword: Strategy & Adventure Games;12+;EN;15980544; Role Playing; Entertainment; Strategy;10/03/2018;06/10/2018
1233020156;3;6;0;4.99, 0.99, 4.99;Lapusanu Patriciu;9+;EN;437855232; Adventure; Strategy; Photo & Video;11/05/2017;11/05/2017
1233065153;;;0;0.99, 1.99, 2.99, 0.99;Dirk Schulz-Judith;4+;DE;261197824; Strategy;;;06/09/2017;28/04/2019
